產品編號,產品名稱,是否為國外產品,價格,活動類型,地點／景點,標籤
25JF131ITK-K,迎春折2000｜九州｜自然野生動物園.叢林巴士.金鱗湖湯布院.雙鐵道.螃蟹吃到飽.雙溫泉五日｜高雄直飛,True,62900.0,"溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊","湯布院, 金鱗湖, 高雄","湯布院, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊, 金鱗湖, 高雄"
24TSO22BFL-X,屏東鐵道旅遊｜台鐵一人成行｜藍皮解憂號(枋寮往返台東)xEMU3000新自強號.枋客文旅悠閒自由二日｜台中出發,False,3999.0,火車旅遊,"台中, 屏東","台中, 屏東, 火車旅遊"
24JXN15BRE-T,"秋魅楓紅經典京阪神奈旅遊｜紅葉祕境大原三千院,奈良梅花鹿,永觀堂,東福寺,嵐山渡月橋五日｜二晚五星",True,52900.0,"文化歷史, 自然景觀, 豪華","奈良, 嵐山, 東福寺","奈良, 嵐山, 文化歷史, 東福寺, 自然景觀, 豪華"
24NZD24NZQ-T,紐西蘭旅遊｜紐航旗艦·升等五星·2晚皇后鎮·古董蒸汽船·微醺酒莊·絕美峽灣·哈比屯·聖誕南北島純淨10日(直飛),True,134800.0,"海島旅遊, 自然景觀, 豪華",峽灣,"峽灣, 海島旅遊, 自然景觀, 豪華"
24SVO01JXX-X,越南旅遊|中越.峴港法國山城.迦南島竹桶船.會安古鎮.粉紅教堂.韓江龍橋五日｜台中出發,True,29000.0,"文化歷史, 海島旅遊, 自然景觀","台中, 法國","台中, 文化歷史, 法國, 海島旅遊, 自然景觀"
24EDD01BR-T,"冰島極光│藍湖溫泉,冰河健行,夢幻冰河湖.金環之旅,黑沙灘,巴黎小旅行10日",True,129900.0,"戶外活動, 海島旅遊, 溫泉之旅, 自然景觀, 雪景","冰島, 巴黎, 藍湖","冰島, 巴黎, 戶外活動, 海島旅遊, 溫泉之旅, 自然景觀, 藍湖, 雪景"
24SDO13JXE-T,馬來西亞旅遊｜檳城｜升等一晚五星渡假村.升旗山纜車.現撈生猛活海鮮.米其林下午茶四日,True,20900.0,"美食, 自然景觀, 豪華",升旗山,"升旗山, 美食, 自然景觀, 豪華"
BR196:BR165:,台北 - 東京 多航段,True,27790.0,其他,"台北, 東京","其他, 台北, 東京"
25JF123BRK-K,迎春折2000｜九州豪斯登堡．99島遊船X水族館．湯布院．天空步道．保住JR大倉酒店．長崎夜景.三晚溫泉五日【高雄直飛】,True,50900.0,"夜間活動, 海島旅遊, 溫泉之旅, 自然景觀, 親子旅遊","夜景, 湯布院, 長崎, 高雄","夜景, 夜間活動, 海島旅遊, 湯布院, 溫泉之旅, 自然景觀, 親子旅遊, 長崎, 高雄"
25NZ523MH-ZP,預購折2千~紐西蘭南北島全覽│威靈頓．但尼丁．藍光螢火蟲．登山纜車．峽灣遊船．天空塔10日,True,155900.0,"戶外活動, 海島旅遊, 自然景觀",峽灣,"峽灣, 戶外活動, 海島旅遊, 自然景觀"
24TE9193T6W-T,花蓮旅遊│五星級.遠雄悅來大飯店.七星潭.貨櫃屋星巴克.新天堂樂園.火車二日,False,4999.0,"主題樂園, 火車旅遊, 豪華","七星潭, 花蓮","七星潭, 主題樂園, 火車旅遊, 花蓮, 豪華"
24ST917BRQ-T,"清邁旅遊│馬車遊南邦,友善大象學校,叢林滑翔冒險,王府帝王宴x米其林推薦美食,無購物五日",True,28000.0,"美食, 購物",,", 美食, 購物"
24SEO14BRD-T,新馬旅遊｜濱海灣花園.大紅花渡假村.文化影城.CoachAirways主題園區.風味美食5日,True,22999.0,"文化歷史, 美食, 豪華",濱海灣花園,"文化歷史, 濱海灣花園, 美食, 豪華"
24JX926D7D-ZP,限定大阪｜全程無自理餐｜京都宇治平等院.小鹿巡禮.伏見稻荷大社.環球影城五日｜保住萬豪旗下飯店,True,29888.0,主題樂園,"京都, 伏見稻荷大社, 大阪, 宇治, 平等院, 環球影城","主題樂園, 京都, 伏見稻荷大社, 大阪, 宇治, 平等院, 環球影城"
25JK1137CG-ZP,韓國迎春折2000｜首爾旅遊｜華川山鱒魚節.冬雪採草莓.五星汗蒸幕.歡樂滑雪(一站購物彩妝)五日,True,27900.0,"自然景觀, 豪華, 購物, 雪景",首爾,"自然景觀, 豪華, 購物, 雪景, 首爾"
00046594,博爾若米首爾精品飯店BORJOMI SEOUL BOUTIQUE HOTEL,False,1770.0,其他,首爾,"其他, 首爾"
190527002,高鐵自由行-高雄小資系列住宿隨選,False,0.0,其他,高雄,"其他, 高雄"
25JF207CIB-T,九州旅遊|南九州砂浴體驗.特急指宿玉手箱.櫻島渡輪.高千穗峽.三晚溫泉五日,True,36900.0,"海島旅遊, 溫泉之旅, 自然景觀",,", 海島旅遊, 溫泉之旅, 自然景觀"
00046635,FAMILY & FRIENDS HOUSE 2 SEOULFAMILY FRIENDS HOUSE 2 SEOUL,False,1930.0,其他,,", 其他"
KRSEL239,東大門 K 精品飯店BOUTIQUE HOTEL K DONGDAEMUN,False,1973.0,其他,東大門,"其他, 東大門"
24TE925TR08-K,台東旅遊｜二人成行｜EMU3000靜謐美學列車｜藍皮解憂號｜南迴記憶.部落走讀.秘境小站.趣淘漫旅2日｜高雄出發,False,2499.0,火車旅遊,高雄,"火車旅遊, 高雄"
24TRO122NU9-T,鐵道旅遊｜第二人折1000｜玉里樸石閣漫旅、勇闖瓦拉米八通關二日｜台中/新竹/桃園/板橋/台北/松山出發,False,4999.0,"火車旅遊, 自然景觀","台中, 台北, 新竹, 桃園","台中, 台北, 新竹, 桃園, 火車旅遊, 自然景觀"
24JFO04BR-T,雙城九州松山|九州四國海陸空體驗.TEAMLAB森林美術館.人氣鐵道.松山城.道後溫泉六日,True,46900.0,"溫泉之旅, 火車旅遊, 自然景觀, 藝文體驗",美術館,"溫泉之旅, 火車旅遊, 美術館, 自然景觀, 藝文體驗"
24TN924P12-K,雙北‧旅展第二人折600｜陽明山小油坑、鶯歌老街、探索圓山密道、松鶴自助晚餐、台北圓山大飯店二日｜高雄台南出發,False,5999.0,自然景觀,"台北, 陽明山, 高雄","台北, 自然景觀, 陽明山, 高雄"
25NZ110CXA-T,紐西蘭旅遊｜國泰尊爵·得獎酒莊·神仙小企鵝夜歸巢·皇家信天翁·登山纜車·絕美峽灣·美食美酒·世界之最純南島12日,True,132800.0,"戶外活動, 海島旅遊, 美食, 自然景觀",峽灣,"峽灣, 戶外活動, 海島旅遊, 美食, 自然景觀"
24jhn01jxh-t,一起揪吧北海道｜函館夜景纜車.熊牧場.企鵝遊行.騎馬體驗.小樽銀鐘咖啡.三大螃蟹溫泉六日,True,43900.0,"夜間活動, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 小樽, 熊牧場","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 熊牧場, 美食, 自然景觀"
00046719,M 飯店HOTEL M,False,2008.0,其他,,", 其他"
00085674,東京上野諾加飯店NOHGA HOTEL UENO TOKYO,True,0.0,其他,東京,"其他, 東京"
25JF207JXB-T,九州旅遊|人氣由布院之森.海之中道水族館.鶴見岳空中纜車.和牛長腳蟹吃到飽.保住雙溫泉五日,True,38900.0,"溫泉之旅, 自然景觀, 親子旅遊",,", 溫泉之旅, 自然景觀, 親子旅遊"
00045722,G-STAY HOTEL MYEONG-DONGG STAY HOTEL MYEONG DONG,False,2060.0,其他,,", 其他"
24TM917HMT-T,苗栗旅遊｜中秋限定.中秋雄獅柚三香.六十年老欉傳柚香.百年老店承餅香.百年茶廠飄茶香一日｜大人囝仔,False,1000.0,其他,苗栗,"其他, 苗栗"
KRSEL054,HOSTEL METROHOSTEL METRO (EX SINSEOLDONG RESIDENCE),False,940.0,其他,,", 其他"
24SD916BRB-T,馬來西亞｜期間限定榴槤開吃.吉膽島追海豚.馬六甲文化遺產.澎湃海鮮拼盤五日,True,19999.0,"文化歷史, 海島旅遊, 美食",馬六甲,"文化歷史, 海島旅遊, 美食, 馬六甲"
25JF207CI-T,南北九州|保住宮崎喜來登.搭乘旅人列車品嘗梅枝餅.高千穗峽.霧島神宮.柳川遊船.由布院.兩晚溫泉五日,True,35900.0,"海島旅遊, 溫泉之旅, 火車旅遊, 自然景觀",,", 海島旅遊, 溫泉之旅, 火車旅遊, 自然景觀"
25EU502CXA-ZP,高雄出發德瑞旅遊｜少女峰．菲斯特．愛的迫降景點．海德堡．史特拉斯堡．米蘭10日,True,113900.0,其他,"少女峰, 德瑞, 米蘭, 高雄","其他, 少女峰, 德瑞, 米蘭, 高雄"
CX407:CX806:AA314:CX831:CX408:,台北 - 芝加哥 多航段,True,31007.0,其他,"台北, 芝加哥","其他, 台北, 芝加哥"
24EFO15BR-T,"特選法國旅遊｜羅浮宮,梵谷奧維小鎮,皇家宮殿花園,塞納河遊船,瑪黑區露天市集,OUTLET,時尚購物8日｜長榮直飛",True,68900.0,"文化歷史, 購物","法國, 羅浮宮","文化歷史, 法國, 羅浮宮, 購物"
24TEO28TT6-K,洄來花蓮玩｜奢華五星住宿～瑞穗天合(一泊二食)、絕對美境瓦拉米古道、池上大坡池踏青二日｜台南高雄出發,False,4999.0,豪華,"花蓮, 高雄","花蓮, 豪華, 高雄"
230510001,高鐵假期-高雄Wenbin Hotel-Pier 2二日自由行｜29天前預購優惠,False,0.0,其他,高雄,"其他, 高雄"
24EFN05BR-T,"特選法國旅遊｜聖誕市集,羅浮宮,塞納河遊船,瑪黑區露天市集,OUTLET,時尚購物8日｜長榮直飛",True,60900.0,購物,"法國, 羅浮宮","法國, 羅浮宮, 購物"
BR205:BR206:,台北 - 曼谷 來回,True,8718.0,其他,台北,"其他, 台北"
24JK914BRA-T,中秋節｜首爾之月圓人團圓｜早去晚回.百人烤肉趣.渠道滑車.暢遊樂天世界.最高樂天塔.水原星空圖書館(一站購物彩妝)四日,True,20888.0,"自然景觀, 購物",首爾,"自然景觀, 購物, 首爾"
24NZN16NZ-T,紐西蘭旅遊｜紐航旗艦·飛越米佛峽灣·賞鯨·漢默地熱溫泉·塔斯曼冰河船·西海岸天空步道·採果·美食美酒純南島11日(直飛),True,130800.0,"海島旅遊, 溫泉之旅, 美食, 自然景觀",峽灣,"峽灣, 海島旅遊, 溫泉之旅, 美食, 自然景觀"
24abo26brp-t,《玩美加族》臥谷長榮~優勝美地、錫安、布萊斯、羚羊峽谷、馬蹄灣、大峽谷美西9日,True,93900.0,其他,,", 其他"
25NZ118NZ-T,紐西蘭旅遊｜紐航旗艦·飛越米佛峽灣·賞鯨·漢默地熱溫泉·塔斯曼冰河船·西海岸天空步道·採果·美食美酒純南島11日(直飛),True,164800.0,"海島旅遊, 溫泉之旅, 美食, 自然景觀",峽灣,"峽灣, 海島旅遊, 溫泉之旅, 美食, 自然景觀"
24SV926JXE-T,越南旅遊｜【富國島＋胡志明經典6日】香島跨海纜車、珍珠樂園、富國大世界、胡志明法式風情、咖啡公寓(四晚五星/含簽證),True,39900.0,"主題樂園, 海島旅遊, 豪華",,", 主題樂園, 海島旅遊, 豪華"
24TE907LSS-FH,六十石山金針花季獨家玩法，帶給您豐富體驗,False,1799.0,自然景觀,六十石山,"六十石山, 自然景觀"
24EFO08BR-T,"特選法國旅遊｜羅浮宮,梵谷奧維小鎮,皇家宮殿花園,塞納河遊船,瑪黑區露天市集,OUTLET,時尚購物8日｜長榮直飛",True,68900.0,"文化歷史, 購物","法國, 羅浮宮","文化歷史, 法國, 羅浮宮, 購物"
24JP914OD1-ZP,不開車玩合掌村｜名古屋自由行6天｜含稅/名古屋進出/WIFI/週六出發/合掌村飛驒高山,True,22999.0,自然景觀,,", 自然景觀"
24AB914BRP-T,《玩美加族》臥谷長榮~優勝美地、錫安、布萊斯、羚羊峽谷、馬蹄灣、大峽谷美西9日,True,99900.0,其他,,", 其他"
24SD915BRB-T,馬來西亞旅遊｜雲頂纜車.法國村.全世界最大Lalaport.馬六甲文化遺產.飯店美食饗宴五日,True,16999.0,"文化歷史, 美食","法國, 馬六甲","文化歷史, 法國, 美食, 馬六甲"
24JPO05ODX-ZP,不開車玩合掌村｜名古屋自由行6天｜含稅/名古屋進出/WIFI/週六出發/合掌村飛驒高山,True,19599.0,自然景觀,,", 自然景觀"
24JXO01BRN-T,"旅展優惠~大阪京都旅遊│森之美山町合掌村,海之天橋立,伊根舟屋,茶之平等院,環球影城五日│保住四晚飯店",True,34888.0,"主題樂園, 自然景觀","京都, 大阪, 平等院, 環球影城","主題樂園, 京都, 大阪, 平等院, 環球影城, 自然景觀"
25JF118BRK-K,九州｜早鳥贈小費｜特色列車由布院之森．入住五星酒店品三大蟹．湯布院金鱗湖．和服體驗．海地獄．溫泉五日【高雄直飛】,True,43900.0,"溫泉之旅, 火車旅遊, 自然景觀, 豪華","海地獄, 湯布院, 金鱗湖, 高雄","海地獄, 湯布院, 溫泉之旅, 火車旅遊, 自然景觀, 豪華, 金鱗湖, 高雄"
24TE917LSS-FH,六十石山金針花季獨家玩法，帶給您豐富體驗,False,1799.0,自然景觀,六十石山,"六十石山, 自然景觀"
24TM904WNA-T,【天天出發】Together一起旅行．武陵農場四季賞花森呼吸一日遊(一人成行),False,1880.0,其他,,", 其他"
24SM916BRW-T,馬新旅遊｜大紅花海上VILLA.百年老屋體驗.濕地公園探險.水上計程車.米其林美食.無購物五日,True,39800.0,"美食, 購物",,", 美食, 購物"
231130007,高鐵假期-高雄城市商旅駁二館二日自由行,False,0.0,其他,高雄,"其他, 高雄"
25NZ208NZ-T,紐西蘭旅遊｜紐航旗艦·飛越米佛峽灣·賞鯨·漢默地熱溫泉·塔斯曼冰河船·西海岸天空步道·採果·美食美酒純南島11日(直飛),True,144800.0,"海島旅遊, 溫泉之旅, 美食, 自然景觀",峽灣,"峽灣, 海島旅遊, 溫泉之旅, 美食, 自然景觀"
24teo09tt6-k,洄來花蓮玩｜奢華五星住宿～瑞穗天合(一泊二食)、絕對美境瓦拉米古道、池上大坡池踏青二日｜台南高雄出發,False,4999.0,豪華,"花蓮, 高雄","花蓮, 豪華, 高雄"
24TE905JZH-FH,【花蓮出發．兩人成行】金黃大花毯．六十石山金針賞花祭．花蓮百年糖廠浪漫金針1日,False,1900.0,"婚禮蜜月, 自然景觀","六十石山, 花蓮","六十石山, 婚禮蜜月, 自然景觀, 花蓮"
24JPN04IT9-K,北陸旅遊│特選團│台灣虎航│夢幻合掌村.賞楓名所香嵐溪.德川園.犬山寂光院四日｜高雄來回,True,25900.0,自然景觀,高雄,"自然景觀, 高雄"
24STD04CIE-T,"泰國旅遊│河畔五星文華東方酒店,希爾頓海景下午茶,格蘭島海之旅,海鮮燒烤BBQ,暹邏天地ICONSIAM,無購物五日",True,32999.0,"海島旅遊, 美食, 豪華, 購物",,", 海島旅遊, 美食, 豪華, 購物"
24TM929WNA-T,【天天出發】Together一起旅行．武陵農場四季賞花森呼吸一日遊(一人成行),False,1980.0,其他,,", 其他"
TWHLN096,花蓮力麗華美達安可酒店RAMADA ENCORE BY WYNDHAM HUALIEN,False,0.0,其他,花蓮,"其他, 花蓮"
24SMO07JXE-T,玩樂369｜馬新旅遊｜全覽檳城.太平.怡保.吉隆坡.馬六甲.新加坡走透透8日,True,37900.0,其他,"吉隆坡, 新加坡, 馬六甲","其他, 吉隆坡, 新加坡, 馬六甲"
24NZ917NZQ-T,紐西蘭旅遊｜紐航旗艦·保住隱士飯店·升等1晚五星·入住2晚皇后鎮·古董蒸汽船·哈比屯·毛利文化·南北島純淨10日(直飛),True,121800.0,"文化歷史, 海島旅遊, 豪華",,", 文化歷史, 海島旅遊, 豪華"
24JPN20JXD-T,楓彩名阪雙城遊|御在所纜車.楓紅香嵐溪.名花之里夜楓.清水寺.天龍寺.達摩不倒翁勝尾寺.名古屋萬豪系列.大阪自由逛六日,True,46900.0,"文化歷史, 自然景觀","大阪, 清水寺","大阪, 文化歷史, 清水寺, 自然景觀"
24TIO10MAF-X,澎湖雙十｜北辰饕鮮趣.海鮮無菜單料理.市場巡禮.北環跨海大橋.二崁古厝漫遊4日.星級品牌飯店｜台中出發,False,12900.0,"美食, 自然景觀, 購物","台中, 澎湖, 跨海大橋","台中, 澎湖, 美食, 自然景觀, 購物, 跨海大橋"
24JTO26MM2-ZP,【東京】宿東京淺草飯店．贈地鐵券．樂桃自由行5日｜含稅,True,16999.0,其他,"東京, 淺草","其他, 東京, 淺草"
190424002,火車旅遊-花蓮民宿自選,False,0.0,火車旅遊,花蓮,"火車旅遊, 花蓮"
G24000NZ,"【自由行/郵輪】岸上觀光推薦|日本,韓國-酷遊卡|上網eSIM(沖繩/石垣島/宮古島/鹿兒島/釜山/濟州島皆可使用)",True,109.0,"海島旅遊, 自然景觀","沖繩, 石垣島, 釜山","沖繩, 海島旅遊, 石垣島, 自然景觀, 釜山"
24JT911MM2-ZP,【東京】宿東京淺草飯店．贈地鐵券．樂桃自由行5日｜含稅,True,19399.0,其他,"東京, 淺草","其他, 東京, 淺草"
25NZ224CIA-T,紐西蘭旅遊｜前十名扣三千｜華航尊爵·升等五星·北方觀景火車·威靈頓電動船·小富士山·天空纜車·農莊住宿·深度純北島10日,True,109800.0,"海島旅遊, 火車旅遊, 自然景觀, 豪華",富士,"富士, 海島旅遊, 火車旅遊, 自然景觀, 豪華"
24NZ913CX-T,紐西蘭旅遊｜國泰尊爵·高山觀景火車·西海岸冰河國家公園·皇后鎮登山纜車·五星牧場·毛利文化·南北島純淨10日,True,112800.0,"戶外活動, 文化歷史, 海島旅遊, 火車旅遊, 自然景觀, 豪華",,", 戶外活動, 文化歷史, 海島旅遊, 火車旅遊, 自然景觀, 豪華"
24JSN27ITS-T,【旅展預購折2千】東北旅遊.銀山溫泉街.最上川遊船.由利高原鐵道.竿燈傳承館.千秋公園.水母水族館.仙台牛舌餐.溫泉五日,True,41999.0,"溫泉之旅, 火車旅遊, 自然景觀, 親子旅遊","仙台, 千秋公園, 銀山, 銀山溫泉街","仙台, 千秋公園, 溫泉之旅, 火車旅遊, 自然景觀, 親子旅遊, 銀山, 銀山溫泉街"
24ti929hal-k,澎湖旅遊｜【划算玩法三選一】北環島三日｜高雄出發,False,6999.0,"海島旅遊, 自然景觀","澎湖, 高雄","海島旅遊, 澎湖, 自然景觀, 高雄"
24NZ920CX-T,紐西蘭旅遊｜國泰尊爵·高山觀景火車·西海岸冰河國家公園·皇后鎮登山纜車·五星牧場·毛利文化·南北島純淨10日,True,108800.0,"戶外活動, 文化歷史, 海島旅遊, 火車旅遊, 自然景觀, 豪華",,", 戶外活動, 文化歷史, 海島旅遊, 火車旅遊, 自然景觀, 豪華"
24SDN22BRB-T,馬來西亞旅遊｜大紅花渡假村.馬六甲文化遺產.夜賞藍眼淚.海鮮拼盤.五星飯店美饌五日,True,24900.0,"文化歷史, 美食, 豪華",馬六甲,"文化歷史, 美食, 豪華, 馬六甲"
24TI912BAS-T,秋豐澎湖｜北辰饕鮮趣.海鮮無菜單料理.市場巡禮.北環跨海大橋.二崁古厝漫遊三日.星級品牌飯店,False,9400.0,"美食, 自然景觀, 購物","澎湖, 跨海大橋","澎湖, 美食, 自然景觀, 購物, 跨海大橋"
24TI929HAL-K,澎湖旅遊｜【划算玩法三選一】北環島三日｜高雄出發,False,6999.0,"海島旅遊, 自然景觀","澎湖, 高雄","海島旅遊, 澎湖, 自然景觀, 高雄"
24JHN25BRC-T,省最大北海道｜美瑛青池.羊駝（草泥馬）牧場.銀河流星瀑布.小樽漫遊.螃蟹溫泉五日｜保住兩晚溫泉,True,34900.0,"溫泉之旅, 美食, 自然景觀","北海道, 小樽, 美瑛青池","北海道, 小樽, 溫泉之旅, 美瑛青池, 美食, 自然景觀"
24SV917ITJ-K,越南旅遊|經典中越雙城.峴港~巴拿山黃金佛手橋.會安古鎮漫遊.迦南島竹桶船.全程5星★無購物五日｜高雄出發.含簽證,True,28900.0,"海島旅遊, 自然景觀, 購物",高雄,"海島旅遊, 自然景觀, 購物, 高雄"
24JTN27MM2-ZP,【東京】宿東京淺草飯店．贈地鐵券．樂桃自由行5日｜含稅,True,18499.0,其他,"東京, 淺草","其他, 東京, 淺草"
240327006,高鐵假期-翰品酒店高雄二日自由行｜送住宿｜彩繪列車,False,0.0,火車旅遊,高雄,"火車旅遊, 高雄"
24JTO10MN-GX,客製｜東京輕井澤.川越小江戶.豐洲teamLabPlanets.台場迷你小團五日【專屬包車】(北/高出發)※不含機票,True,32000.0,其他,東京,"其他, 東京"
IT234:IT235:,台北 - 札幌 來回,True,13526.0,其他,"台北, 札幌","其他, 台北, 札幌"
24JHN09BRC-T,省最大北海道｜美瑛青池.羊駝（草泥馬）牧場.銀河流星瀑布.小樽漫遊.螃蟹溫泉五日｜保住兩晚溫泉,True,35900.0,"溫泉之旅, 美食, 自然景觀","北海道, 小樽, 美瑛青池","北海道, 小樽, 溫泉之旅, 美瑛青池, 美食, 自然景觀"
24JTO02JXC-T,東京旅遊｜東京迪士尼.富士山.三嶋大社.修善寺.一碧湖.熱海商店街.美食溫泉五日｜保住一晚伊豆溫泉,True,38900.0,"主題樂園, 文化歷史, 溫泉之旅, 美食, 自然景觀","富士, 東京","主題樂園, 富士, 文化歷史, 東京, 溫泉之旅, 美食, 自然景觀"
24CMO11JX3-X,澳門自由行｜雙十連休｜葡京人酒店、歐舒丹酒店3日｜不限量上網卡.含稅｜台中出發,True,12899.0,其他,"台中, 澳門","其他, 台中, 澳門"
24NZD26NZW-T,紐西蘭旅遊｜蜜月最高扣五千·紐航旗艦·皇后鎮跨年·升等五星·威靈頓·但尼丁·薰衣草·毛利神話·美食美酒13日(直飛),True,178800.0,"婚禮蜜月, 美食, 豪華",,", 婚禮蜜月, 美食, 豪華"
24JTO04BRI-T,東京旅遊｜東京迪士尼.富士山.三嶋大社.修善寺.一碧湖.熱海商店街.美食溫泉五日｜保住一晚伊豆溫泉,True,36900.0,"主題樂園, 文化歷史, 溫泉之旅, 美食, 自然景觀","富士, 東京","主題樂園, 富士, 文化歷史, 東京, 溫泉之旅, 美食, 自然景觀"
IT606:IT607:,台北 - 釜山 來回,True,8429.0,自然景觀,"台北, 釜山","台北, 自然景觀, 釜山"
24SVO01ITJ-K,越南旅遊|經典中越雙城.峴港~巴拿山黃金佛手橋.會安古鎮漫遊.迦南島竹桶船.全程5星★無購物五日｜高雄出發.含簽證,True,29500.0,"海島旅遊, 自然景觀, 購物",高雄,"海島旅遊, 自然景觀, 購物, 高雄"
24JTO16IT7-ZP,東京旅遊│小資酷玩~草津溫泉漫遊.川越小江戶.輕井澤白絲瀑布.東京迪士尼五日,True,29900.0,"主題樂園, 溫泉之旅, 自然景觀","東京, 草津溫泉","主題樂園, 東京, 溫泉之旅, 自然景觀, 草津溫泉"
24STD03BRA-T,"享饗泰國│全程五星酒店,暹羅灣海上餐廳,雙按摩體驗,粉紅三頭象神,火車城堡夜市,特色風味美饌五日",True,29800.0,"夜間活動, 文化歷史, 火車旅遊, 美食, 豪華",,", 夜間活動, 文化歷史, 火車旅遊, 美食, 豪華"
24JHN29CIP-T,早鳥65折起｜ClubMed北海道KiroroPeak冬季滑雪全包式假期五日,True,80100.0,雪景,北海道,"北海道, 雪景"
24SSO10JXU-T,雙十連休｜新加坡旅遊｜夜間動物園.環球影城.國家美術館.濱海灣燈光秀四日,True,34900.0,"主題樂園, 夜間活動, 藝文體驗, 親子旅遊","新加坡, 環球影城, 美術館","主題樂園, 夜間活動, 新加坡, 環球影城, 美術館, 藝文體驗, 親子旅遊"
25JH205CIP-T,早鳥65折起｜ClubMed北海道KiroroPeak冬季滑雪全包式假期五日,True,117300.0,雪景,北海道,"北海道, 雪景"
25AP619BRG-T,加拿大全覽│保住露易絲城堡飯店、洛磯山脈四大國家公園、尼加拉瀑布面瀑房、魁北克古城、渥太華、蒙特婁、溫哥華14日,True,226900.0,"文化歷史, 自然景觀",,", 文化歷史, 自然景觀"
PR895:PR2039:PR2048:PR890:,台北 - 長灘島 來回,True,12233.0,海島旅遊,台北,"台北, 海島旅遊"
24JX924CX-T,輕奢行｜關西雙鐵道阪進名出｜近鐵豪華列車｜保住大阪五星．天空郵筒&足湯．嵐山水鏡．阿倍野展望台．松阪牛溫泉｜6日,True,65900.0,"溫泉之旅, 火車旅遊, 自然景觀, 豪華","大阪, 嵐山","大阪, 嵐山, 溫泉之旅, 火車旅遊, 自然景觀, 豪華"
G24000H9,桃園國際機場貴賓室| 第二航廈東方宇逸貴賓室ORIENTAL CLUB LOUNGE | 超值成人優惠票,False,780.0,其他,桃園,"其他, 桃園"
24PON30CX-T,萬象澳洲旅遊｜粉紅湖掠影·曼哲拉龍蝦巡遊·尖峰石鎮·天鵝谷微醺酒莊·四大國家公園·西澳秘境探索8日(國泰航空聯營商品),True,106900.0,自然景觀,,", 自然景觀"
24EUO03CX-T,"旅展優惠│特選德瑞│007雪朗峰,藍湖,萊茵瀑布,圖恩湖,萊茵河三遊船,國泰雙點進出10日",True,99900.0,自然景觀,"德瑞, 萊茵河, 藍湖","德瑞, 自然景觀, 萊茵河, 藍湖"
24JKO097CS-T,釜山旅遊｜樂天探索樂園.SKYLUGE斜坡滑車.海雲台濱海列車.韓服體驗.塗鴉秀五日(一站購物彩妝),True,23900.0,"主題樂園, 火車旅遊, 自然景觀, 購物","塗鴉秀, 海雲台, 釜山","主題樂園, 塗鴉秀, 海雲台, 火車旅遊, 自然景觀, 購物, 釜山"
00311115,路徒行旅-花蓮東大館,,0.0,其他,花蓮,"其他, 花蓮"
25JT205BRO-T,雄推薦東京旅遊｜冬季戲雪趣.富士山三大美景.箱根遊船.迪士尼.表參道.敘敘苑.五大美食.關東溫泉五日,True,41900.0,"主題樂園, 溫泉之旅, 美食, 自然景觀, 雪景","富士, 東京, 箱根","主題樂園, 富士, 東京, 溫泉之旅, 箱根, 美食, 自然景觀, 雪景"
24JOD03BR-T,旅展優惠｜沖繩限時促銷|沖繩悠閒新玩法‧神宮祈福‧系滿魚市嚐鮮‧時尚購物區‧海豚秀‧慢旅四日｜安排星野下午茶,True,20800.0,購物,沖繩,"沖繩, 購物"
25JS205ITA-ZP,"迎春折2,000｜花卷～岩手冰之世界一票玩到底．冬季獨家藏王樹冰．雪季三重奏五日｜保證入住花卷溫泉",True,51888.0,"溫泉之旅, 自然景觀",花卷溫泉,"溫泉之旅, 自然景觀, 花卷溫泉"
00313309,澳門葡京人LISBOETA MACAU,False,3550.0,其他,澳門,"其他, 澳門"
24NZD02CIA-T,紐西蘭旅遊｜前十名扣三千｜華航尊爵·升等五星·北方觀景火車·威靈頓電動船·小富士山·天空纜車·農莊住宿·深度純北島10日,True,109800.0,"海島旅遊, 火車旅遊, 自然景觀, 豪華",富士,"富士, 海島旅遊, 火車旅遊, 自然景觀, 豪華"
24JPD09ITK-K,一起揪吧北陸｜台灣虎航│冬遊北陸~名古屋城.夢幻合掌村.新穗高纜車.不倒翁手作DIY.溫泉美食四日｜高雄來回,True,27900.0,"溫泉之旅, 美食, 自然景觀",高雄,"溫泉之旅, 美食, 自然景觀, 高雄"
24JHN08JX-T,限量搶北海道旅遊｜函館纜車.企鵝遊行.小樽漫遊.熊牧場.OUTLET.三大螃蟹溫泉五日｜保住四晚溫泉,True,39900.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽, 熊牧場","函館, 北海道, 小樽, 溫泉之旅, 熊牧場, 美食, 自然景觀"
24JX912D71-ZP,《大阪》宿心齋橋飯店★大阪自由行5日(贈早餐/WIFI機/全亞洲航空/含稅),True,17499.0,其他,"大阪, 心齋橋","其他, 大阪, 心齋橋"
24JTO10BRD-T,東京迪士尼.晴空塔.箱根.海盜船.忍野八海.螃蟹溫泉美食.富士美景五日,True,41900.0,"主題樂園, 溫泉之旅, 美食, 自然景觀","富士, 東京, 箱根","主題樂園, 富士, 東京, 溫泉之旅, 箱根, 美食, 自然景觀"
